7,9,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,8,10,4,5,11,2,6,0,1,8,10,4,5,2,11,6,1,0,9,7,9,7,3,-1,-1
3,8,10,4,5,11,2,6,1,0,8,10,4,5,11,2,6,0,1,9,3,-1,-1,-1,-1,-1
3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,8,10,4,5,2,11,6,1,0,8,4,10,5,2,11,6,1,0,9,-1,-1,-1,-1,-1,-1
3,8,10,4,5,11,2,6,0,1,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,8,10,4,5,11,2,6,0,1,9,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8,10,4,5,11,2,6,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,8,5,6,10,11,0,4,2,1,8,5,6,10,11,0,4,2,1,9,-1,-1,-1,-1,-1,-1
3,8,10,4,5,11,2,6,0,1,9,8,10,4,5,2,11,6,1,0,-1,-1,-1,-1,-1,-1
3,8,4,10,5,2,11,6,0,1,8,10,4,5,2,11,6,0,1,9,-1,-1,-1,-1,-1,-1
3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8,10,4,5,11,2,6,0,1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8,5,10,4,11,2,6,0,1,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,8,10,4,5,11,2,6,0,1,8,10,4,5,11,2,6,0,1,9,-1,-1,-1,-1,-1,-1
8,10,4,5,11,2,6,0,1,8,10,4,5,11,2,6,0,1,9,-1,-1,-1,-1,-1,-1,-1
3,8,10,4,5,11,2,6,0,1,8,10,4,5,11,2,6,0,1,9,-1,-1,-1,-1,-1,-1
8,5,6,10,11,0,4,2,1,8,5,6,10,11,0,4,2,1,-1,-1,-1,-1,-1,-1,-1,-1
3,8,10,4,5,11,2,6,1,0,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9,3,8,10,4,6,0,1,5,11,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,8,4,10,5,2,11,6,1,0,8,4,10,5,2,11,6,1,0,9,-1,-1,-1,-1,-1,-1
9,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,8,10,4,5,11,2,6,0,1,8,10,4,5,11,2,6,0,1,-1,-1,-1,-1,-1,-1,-1
3,8,10,4,5,11,2,6,1,0,8,4,10,5,2,11,6,1,0,9,-1,-1,-1,-1,-1,-1
3,8,5,6,10,11,0,4,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,8,10,4,5,11,2,6,0,1,8,10,4,5,11,2,6,0,1,9,-1,-1,-1,-1,-1,-1
10,8,4,11,5,2,6,1,0,10,8,4,5,2,11,6,1,0,9,-1,-1,-1,-1,-1,-1,-1
8,4,5,2,6,1,10,11,0,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8,10,4,5,11,2,6,0,1,8,10,4,5,11,2,6,0,1,9,7,-1,-1,-1,-1,-1,-1
3,8,10,4,5,11,2,6,0,1,8,10,4,5,11,2,6,0,1,9,7,9,7,3,-1,-1
3,8,5,6,4,2,1,10,11,0,8,5,6,4,2,1,10,11,0,3,9,-1,-1,-1,-1,-1
3,8,10,4,5,11,2,6,0,1,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8,10,4,5,6,11,0,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
